generation,genome_id,fitness,diversity,agreement,num_nodes,num_connections
0,102,0.006537139415740967,0.006537139415740967,0.91796875,1,4
0,103,0.028058230876922607,0.028058230876922607,0.796875,1,4
0,104,0.0005823373794555664,0.0005823373794555664,0.9609375,1,4
0,105,0.0012981295585632324,0.0012981295585632324,0.96484375,1,4
0,106,0.03721189498901367,0.03721189498901367,0.79296875,1,4
0,107,0.006568193435668945,0.006568193435668945,0.921875,1,4
0,108,0.04156088829040527,0.04156088829040527,0.77734375,1,4
0,109,0.00500798225402832,0.00500798225402832,0.9296875,1,4
0,110,0.09039024147205056,0.14196258783340454,0.5546875,1,4
0,111,0.0027513504028320312,0.0027513504028320312,0.9453125,1,4
0,112,0.005456864833831787,0.005456864833831787,0.94921875,1,4
0,113,0.004830598831176758,0.004830598831176758,0.93359375,1,4
0,114,0.03328806161880493,0.03328806161880493,0.78515625,1,4
0,115,0.03967982530593872,0.03967982530593872,0.87109375,1,4
0,116,0.015806853771209717,0.015806853771209717,0.9140625,1,4
0,117,0.006577551364898682,0.006577551364898682,0.92578125,1,4
0,118,0.04119110107421875,0.04119110107421875,0.796875,1,4
0,119,0.005314230918884277,0.005314230918884277,0.921875,1,4
0,120,0.00867074728012085,0.00867074728012085,0.91796875,1,4
0,121,0.0052678585052490234,0.0052678585052490234,0.94921875,1,4
0,122,0.012539803981781006,0.012539803981781006,0.8984375,1,4
0,123,0.007234930992126465,0.007234930992126465,0.91796875,1,4
0,124,0.006724953651428223,0.006724953651428223,0.91796875,1,4
0,125,0.023790597915649414,0.023790597915649414,0.8671875,1,4
0,126,0.015313804149627686,0.015313804149627686,0.9140625,1,4
0,127,0.01261073350906372,0.01261073350906372,0.91015625,1,4
0,128,0.0012213587760925293,0.0012213587760925293,0.953125,1,4
0,129,0.000580906867980957,0.000580906867980957,0.96875,1,4
0,130,0.021199464797973633,0.021199464797973633,0.87109375,1,4
0,131,0.0013852119445800781,0.0013852119445800781,0.95703125,1,4
0,132,0.00041747093200683594,0.00041747093200683594,0.98046875,1,4
0,133,0.004847407341003418,0.004847407341003418,0.92578125,1,4
0,134,0.017346322536468506,0.017346322536468506,0.8828125,1,4
0,135,0.010322928428649902,0.010322928428649902,0.89453125,1,4
0,136,0.002071976661682129,0.002071976661682129,0.9609375,1,4
0,137,0.0071738362312316895,0.0071738362312316895,0.9140625,1,4
0,138,0.0066588521003723145,0.0066588521003723145,0.8984375,1,4
0,139,0.002765476703643799,0.002765476703643799,0.94921875,1,4
0,140,0.0004528164863586426,0.0004528164863586426,0.98828125,1,4
0,141,0.007161080837249756,0.007161080837249756,0.91796875,1,4
0,142,0.039014577865600586,0.039014577865600586,0.78125,1,4
0,143,0.007234752178192139,0.007234752178192139,0.91796875,1,4
0,144,0.0017102360725402832,0.0017102360725402832,0.953125,1,4
0,145,0.0063784122467041016,0.0063784122467041016,0.91015625,1,4
0,146,0.006768465042114258,0.006768465042114258,0.91796875,1,4
0,147,0.09982878528535367,0.11590099334716797,0.64453125,1,4
0,148,0.006663382053375244,0.006663382053375244,0.91015625,1,4
0,149,0.053638994693756104,0.053638994693756104,0.7734375,1,4
0,150,0.0011228322982788086,0.0011228322982788086,0.96484375,1,4
1,10,0.062439024448394775,0.062439024448394775,0.79296875,1,4
1,40,0.07349620375316591,0.09384053945541382,0.61328125,1,4
1,151,0.03400450944900513,0.03400450944900513,0.80859375,1,3
1,152,0.01688706874847412,0.01688706874847412,0.88671875,1,3
1,153,0.027341902256011963,0.027341902256011963,0.8203125,1,3
1,154,0.0010936856269836426,0.0010936856269836426,0.96484375,2,5
1,155,0.014306485652923584,0.014306485652923584,0.87109375,1,3
1,156,0.013080835342407227,0.013080835342407227,0.91015625,1,4
1,157,0.08665603399276733,0.08665603399276733,0.734375,1,3
1,158,0.0033288002014160156,0.0033288002014160156,0.9453125,1,3
1,159,0.03863340616226196,0.03863340616226196,0.765625,1,3
